STATE/UT,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING,DACOITY,ROBBERY,RIOTS,FRAUD,HURT,AGAINST WOMEN,NEGLIGENCE,OTHER,TOTAL IPC CRIMES
MEGHALAYA,TOTAL,2003,252,80,98,84,1013,21,50,106,18,41,355,1669
MIZORAM,TOTAL,2003,85,108,16,5,3114,26,91,142,91,11,1132,3456
NAGALAND,TOTAL,2003,133,28,76,19,629,13,21,48,7,41,234,976
ODISHA,TOTAL,2003,2446,1450,954,208,14554,1745,1202,4759,3425,2497,20602,47281
PUNJAB,TOTAL,2003,1464,760,928,147,8598,71,3522,4124,1642,2226,9316,28756
RAJASTHAN,TOTAL,2003,3300,2100,4476,77,39639,4836,8185,26173,8871,5074,62592,145579
SIKKIM,TOTAL,2003,24,20,0,2,181,12,22,56,26,18,157,443
TAMIL NADU,TOTAL,2003,3462,1114,1758,138,41789,4497,2274,30228,4679,9112,77784,157186
TRIPURA,TOTAL,2003,341,228,292,36,788,357,31,534,394,109,940,3514
UTTAR PRADESH,TOTAL,2003,10602,1822,4416,513,37506,2548,4883,7760,10016,4428,29449,95073
UTTARAKHAND,TOTAL,2003,535,214,342,29,3453,425,525,687,644,362,2353,7923
WEST BENGAL,TOTAL,2003,2309,2004,1804,1100,26166,2683,2065,4172,6535,2300,24553,61174
A & N ISLANDS,TOTAL,2003,26,4,4,2,183,27,16,110,18,0,318,644
CHANDIGARH,TOTAL,2003,38,36,64,4,2692,50,243,71,109,8,779,2806
D & N HAVELI,TOTAL,2003,16,2,14,4,169,21,23,22,6,1,129,338
DAMAN & DIU,TOTAL,2003,9,10,2,4,134,32,22,14,4,6,84,269
DELHI UT,TOTAL,2003,957,980,2312,135,33427,140,2553,1708,1935,402,20045,47404
LAKSHADWEEP,TOTAL,2003,0,4,0,0,22,6,0,1,2,0,6,31
PUDUCHERRY,TOTAL,2003,61,4,36,2,1271,177,45,1053,88,182,2185,4517
ANDHRA PRADESH,TOTAL,2004,4650,2032,3052,201,56209,3455,9001,43335,15029,11452,36460,158756
ARUNACHAL PRADESH,TOTAL,2004,113,84,130,32,1036,84,61,429,65,0,717,2256
ASSAM,TOTAL,2004,1687,2342,3812,391,14781,3994,1508,5911,2913,2239,10040,40675
BIHAR,TOTAL,2004,7223,2780,6826,1464,28387,10500,4522,11231,4460,2405,44178,108060
CHHATTISGARH,TOTAL,2004,1571,1938,428,114,14111,1032,567,3899,2604,1717,20143,41927
GOA,TOTAL,2004,51,74,26,5,1285,40,110,170,57,216,646,2127
GUJARAT,TOTAL,2004,1609,678,2266,375,44066,1987,3460,12262,4934,3958,49897,105469
HARYANA,TOTAL,2004,1239,772,846,197,16146,794,1655,4194,3530,981,16109,39096
HIMACHAL PRADESH,TOTAL,2004,199,306,246,1,2077,674,277,1421,560,469,7015,12326
JAMMU & KASHMIR,TOTAL,2004,1957,436,1470,28,5427,1436,551,334,1345,422,10677,21191
JHARKHAND,TOTAL,2004,2746,1594,936,635,10947,2448,780,2294,1313,416,12969,31439
KARNATAKA,TOTAL,2004,2963,582,1184,286,39303,6485,3247,21232,3339,277,52518,114440
KERALA,TOTAL,2004,1281,960,464,144,15699,6835,4190,20610,5646,42,54106,104025
MADHYA PRADESH,TOTAL,2004,5130,5750,1664,281,59006,3372,1871,33285,11681,4209,96911,196867
MAHARASHTRA,TOTAL,2004,4274,2776,2090,944,104792,7129,6913,30122,9653,9574,44420,176302
MANIPUR,TOTAL,2004,389,62,256,4,557,200,171,233,32,35,999,2535
MEGHALAYA,TOTAL,2004,173,108,108,93,1059,17,71,123,41,51,434,1752
MIZORAM,TOTAL,2004,58,40,30,10,1476,24,56,80,66,0,320,1515
NAGALAND,TOTAL,2004,108,36,46,14,697,11,39,52,4,34,239,984
ODISHA,TOTAL,2004,2288,1540,1052,238,15878,1776,1090,4938,3492,2652,21058,48739
PUNJAB,TOTAL,2004,1639,780,926,96,7026,68,3102,4402,1213,2181,7637,25630
RAJASTHAN,TOTAL,2004,3368,2076,4768,104,44268,3936,9283,25947,10027,5579,67767,154859
SIKKIM,TOTAL,2004,27,6,10,0,215,83,27,78,41,29,196,631
TAMIL NADU,TOTAL,2004,3277,1236,1740,126,39671,4095,2429,30855,4604,9152,88439,166606
TRIPURA,TOTAL,2004,225,320,198,29,732,172,63,452,456,85,868,3081
UTTAR PRADESH,TOTAL,2004,13142,2794,6674,476,52953,4296,6749,11265,11243,7136,40711,130181
UTTARAKHAND,TOTAL,2004,538,230,426,38,3925,472,542,865,740,464,2319,8634
WEST BENGAL,TOTAL,2004,2283,2950,2400,1155,30012,2794,2236,3867,8372,2995,27426,69350
A & N ISLANDS,TOTAL,2004,18,20,6,0,278,18,12,105,14,6,387,748
CHANDIGARH,TOTAL,2004,51,38,108,2,3110,43,162,65,117,5,720,2889
D & N HAVELI,TOTAL,2004,15,14,24,3,128,19,34,35,8,8,193,409
DAMAN & DIU,TOTAL,2004,4,2,4,0,90,21,9,17,5,25,51,198
DELHI UT,TOTAL,2004,1080,1102,2418,165,40324,105,2811,1780,2111,433,22048,53623
LAKSHADWEEP,TOTAL,2004,0,0,0,0,12,37,1,6,1,0,18,70
PUDUCHERRY,TOTAL,2004,57,8,20,0,1355,156,44,974,88,176,2390,4620
ANDHRA PRADESH,TOTAL,2005,4585,1870,3224,254,56304,2993,9114,42179,15245,9973,37707,157123
ARUNACHAL PRADESH,TOTAL,2005,123,70,116,23,1402,36,68,383,76,69,562,2304
ASSAM,TOTAL,2005,1814,2476,3502,356,15444,3183,1463,5906,3226,2695,11299,42006
BIHAR,TOTAL,2005,7037,2294,5386,1377,27115,8431,3060,11939,3126,2680,40057,97850
CHHATTISGARH,TOTAL,2005,1714,1980,492,229,15222,1107,614,3734,2414,2004,20959,43633
GOA,TOTAL,2005,65,40,34,2,1283,57,114,155,51,209,641,2119
GUJARAT,TOTAL,2005,1512,648,2328,297,42226,1948,3358,10503,5044,4120,60882,113414
HARYANA,TOTAL,2005,1354,922,984,226,21215,1018,1797,4569,3264,1083,15879,42664
HIMACHAL PRADESH,TOTAL,2005,211,282,236,6,2110,655,251,1359,545,480,7165,12345
JAMMU & KASHMIR,TOTAL,2005,1589,402,1496,13,5315,1462,549,355,1282,462,10040,20115
JHARKHAND,TOTAL,2005,2694,1506,1242,641,14732,2726,905,3078,1180,1490,12550,35175
KARNATAKA,TOTAL,2005,3095,686,1178,327,41204,6389,3476,20883,3800,243,54239,117580
KERALA,TOTAL,2005,817,956,452,268,15639,6991,3701,18302,5818,34,57530,104350
MADHYA PRADESH,TOTAL,2005,5051,5842,1694,277,54119,3390,1956,33803,10949,4593,91951,189172
MAHARASHTRA,TOTAL,2005,4333,3090,2388,948,111728,7902,8496,30017,10721,9608,47386,187027
MANIPUR,TOTAL,2005,512,50,212,4,556,190,184,295,45,5,1234,2913
MEGHALAYA,TOTAL,2005,171,126,96,82,1195,112,60,135,48,61,381,1880
MIZORAM,TOTAL,2005,53,74,26,3,2002,55,74,77,57,4,558,2156
NAGALAND,TOTAL,2005,121,34,52,12,761,12,63,35,7,37,252,1049
ODISHA,TOTAL,2005,2406,1598,1282,234,17513,1901,1372,5919,4427,3034,20182,51685
PUNJAB,TOTAL,2005,1652,796,956,130,7866,56,3313,4267,1179,2283,8438,27136
RAJASTHAN,TOTAL,2005,3200,1986,3986,120,41613,2938,9042,22606,8889,5872,61549,140917
SIKKIM,TOTAL,2005,26,36,6,2,251,22,50,99,42,53,67,552
TAMIL NADU,TOTAL,2005,3227,1142,2058,73,35877,3046,2973,31725,4294,8902,86494,162360
TRIPURA,TOTAL,2005,178,324,170,22,881,183,107,429,635,188,811,3356
UTTAR PRADESH,TOTAL,2005,12868,2434,5910,375,47995,4324,7341,10379,10785,7406,37158,122108
UTTARAKHAND,TOTAL,2005,511,266,406,48,3940,457,562,745,524,462,2078,8033
WEST BENGAL,TOTAL,2005,2295,3372,2414,1432,25413,2727,2395,4125,9069,2737,25444,66406
A & N ISLANDS,TOTAL,2005,20,8,4,0,256,10,21,79,17,3,362,682
CHANDIGARH,TOTAL,2005,37,66,108,2,2981,44,202,57,118,9,969,3133
D & N HAVELI,TOTAL,2005,12,10,26,3,175,19,26,33,10,17,195,434
DAMAN & DIU,TOTAL,2005,7,4,8,4,137,20,16,16,5,24,58,243
DELHI UT,TOTAL,2005,986,1316,3180,184,38513,108,2808,1814,2426,634,24299,56065
LAKSHADWEEP,TOTAL,2005,1,0,0,0,16,6,0,4,0,0,22,42
PUDUCHERRY,TOTAL,2005,51,12,12,1,1004,168,49,857,96,224,2579,4575
ANDHRA PRADESH,TOTAL,2006,4749,2098,4060,181,56003,3928,9694,47946,16628,11489,43722,173909
ARUNACHAL PRADESH,TOTAL,2006,96,74,150,28,1233,26,108,415,80,82,565,2294
ASSAM,TOTAL,2006,1653,2488,3650,331,19095,3172,1464,5290,3953,3022,10444,43673
BIHAR,TOTAL,2006,6878,2464,5238,1141,29204,9044,3322,12674,3502,2860,39941,100665
CHHATTISGARH,TOTAL,2006,1938,1990,478,184,14470,1167,677,6722,2562,2239,19246,45177
GOA,TOTAL,2006,57,42,32,7,1257,101,99,170,39,233,698,2204
GUJARAT,TOTAL,2006,1660,708,2256,302,43450,1855,2971,10685,5901,4339,66802,120972
HARYANA,TOTAL,2006,1517,1216,1270,328,25447,1298,2209,5135,3486,1350,19014,50509
HIMACHAL PRADESH,TOTAL,2006,209,226,260,7,2407,681,270,1261,568,499,7760,13093
JAMMU & KASHMIR,TOTAL,2006,1381,500,1578,10,5337,1400,621,376,1452,222,10886,20787
JHARKHAND,TOTAL,2006,2667,1598,1270,581,14553,2828,1186,3055,1412,1154,13667,36364
KARNATAKA,TOTAL,2006,3179,800,1126,449,37118,6451,3520,19488,4094,534,56815,117710
KERALA,TOTAL,2006,827,1202,588,254,15798,6800,3683,19105,6498,49,56777,105255
MADHYA PRADESH,TOTAL,2006,4817,5800,1616,272,56196,3123,2079,34709,10758,4823,95959,194711
MAHARASHTRA,TOTAL,2006,4436,3000,2522,986,111397,8641,8277,29407,11589,10933,49834,191788
MANIPUR,TOTAL,2006,474,80,260,29,643,169,131,296,52,3,1207,2884
MEGHALAYA,TOTAL,2006,207,148,114,61,1145,35,106,138,76,68,438,1935
MIZORAM,TOTAL,2006,51,144,12,7,1948,25,118,72,52,26,454,2073
NAGALAND,TOTAL,2006,177,46,62,16,808,23,65,50,8,28,201,1103
ODISHA,TOTAL,2006,1947,1970,1408,315,17438,1906,1693,6226,3825,2945,21375,52792
